[2018-10-18 00:21:16,971][INFO] Training started on cuda:0
[2018-10-18 00:23:59,664][INFO] [1/200] Train loss: 4154.750412 
[2018-10-18 00:24:00,855][INFO] [1/200] Validation loss: 4240.281189 
[2018-10-18 00:24:00,889][INFO] [1/200] Time: 163.916280 s
[2018-10-18 00:24:00,890][INFO] ------------------------------
[2018-10-18 00:26:34,822][INFO] [2/200] Train loss: 1724.682574 
[2018-10-18 00:26:36,075][INFO] [2/200] Validation loss: 1759.901672 
[2018-10-18 00:26:36,109][INFO] [2/200] Time: 155.217421 s
[2018-10-18 00:26:36,110][INFO] ------------------------------
[2018-10-18 00:29:13,679][INFO] [3/200] Train loss: 950.836562 
[2018-10-18 00:29:14,938][INFO] [3/200] Validation loss: 967.775299 
[2018-10-18 00:29:14,972][INFO] [3/200] Time: 158.860541 s
[2018-10-18 00:29:14,973][INFO] ------------------------------
[2018-10-18 00:31:44,658][INFO] [4/200] Train loss: 621.554884 
[2018-10-18 00:31:45,880][INFO] [4/200] Validation loss: 642.733782 
[2018-10-18 00:31:45,911][INFO] [4/200] Time: 150.937040 s
[2018-10-18 00:31:45,912][INFO] ------------------------------
[2018-10-18 00:34:19,404][INFO] [5/200] Train loss: 548.587400 
[2018-10-18 00:34:20,786][INFO] [5/200] Validation loss: 565.010431 
[2018-10-18 00:34:20,818][INFO] [5/200] Time: 154.904440 s
[2018-10-18 00:34:20,819][INFO] ------------------------------
[2018-10-18 00:37:00,166][INFO] [6/200] Train loss: 480.157250 
[2018-10-18 00:37:01,558][INFO] [6/200] Validation loss: 495.191513 
[2018-10-18 00:37:01,592][INFO] [6/200] Time: 160.772099 s
[2018-10-18 00:37:01,594][INFO] ------------------------------
[2018-10-18 00:39:46,144][INFO] [7/200] Train loss: 442.970350 
[2018-10-18 00:39:47,364][INFO] [7/200] Validation loss: 457.823572 
[2018-10-18 00:39:47,398][INFO] [7/200] Time: 165.803598 s
[2018-10-18 00:39:47,400][INFO] ------------------------------
[2018-10-18 00:42:16,113][INFO] [8/200] Train loss: 450.682847 
[2018-10-18 00:42:17,275][INFO] [8/200] Validation loss: 466.241056 
[2018-10-18 00:42:17,277][INFO] [8/200] Time: 149.876523 s
[2018-10-18 00:42:17,279][INFO] ------------------------------
[2018-10-18 00:44:52,242][INFO] [9/200] Train loss: 461.018220 
[2018-10-18 00:44:53,509][INFO] [9/200] Validation loss: 475.045872 
[2018-10-18 00:44:53,511][INFO] [9/200] Time: 156.231645 s
[2018-10-18 00:44:53,513][INFO] ------------------------------
[2018-10-18 00:47:20,504][INFO] [10/200] Train loss: 375.224773 
[2018-10-18 00:47:21,764][INFO] [10/200] Validation loss: 391.390215 
[2018-10-18 00:47:21,795][INFO] [10/200] Time: 148.281189 s
[2018-10-18 00:47:21,797][INFO] ------------------------------
[2018-10-18 00:50:05,396][INFO] [11/200] Train loss: 329.866481 
[2018-10-18 00:50:06,705][INFO] [11/200] Validation loss: 342.601660 
[2018-10-18 00:50:06,737][INFO] [11/200] Time: 164.939191 s
[2018-10-18 00:50:06,737][INFO] ------------------------------
[2018-10-18 00:52:51,413][INFO] [12/200] Train loss: 428.489768 
[2018-10-18 00:52:52,662][INFO] [12/200] Validation loss: 444.533321 
